lat,long,nombre
-33.53845833,-70.66361667,EIM La Cisterna
-33.54116944,-70.64327222,San Ramón
-33.54239167,-70.63419722,Santa Rosa
-33.537378,-70.664397,La Cisterna
-33.381161,-70.644528,Vespucio Norte
-33.531192,-70.605603,Santa Julia
-33.519675,-70.596167,Vicuña Mackenna
-33.418056,-70.601667,Tobalaba
-33.477622,-70.622292,Rodrigo de Araya
-33.491892,-70.617528,Camino Agrícola
-33.486539,-70.619131,Carlos Valdovinos
-33.54111111,-70.61611111,La Granja
-33.51978611,-70.59865278,EIM Bellavista de La Florida
-33.447075,-70.63045,Santa Isabel
-33.513417,-70.605925,Mirador
-33.520475,-70.599394,Bellavista de La Florida
-33.508053,-70.612369,Pedrero
-33.499222,-70.615972,San Joaquín
-33.452416666667,-70.557916666667,Fernando Castillo Velasco
-33.407886111111,-70.544883333333,Los Dominicos
-33.408217,-70.556111,Hernando de Magallanes
-33.408783,-70.567183,Manquehue
-33.416539,-70.595422,El Golf
-33.414267,-70.58465,Escuela Militar
-33.415339,-70.589528,Alcántara
-33.425419,-70.614483,Pedro de Valdivia
-33.428569,-70.619811,Manuel Montt
-33.432656,-70.626086,Salvador
-33.440222,-70.640386,Universidad Católica
-33.447764,-70.667569,República
-33.445028,-70.655667,La Moneda
-33.449603,-70.674278,Unión Latinoamericana
-33.442611,-70.645111,Santa Lucía
-33.454444444444,-70.68,Terminal de buses San Borja
-33.45194444,-70.67888889,Estación Central
-33.450831,-70.679,Estación Central
-33.452772,-70.686019,Universidad de Santiago
-33.45410278,-70.68821944,Terminal de buses Santiago
-33.457294,-70.705583,Las Rejas
-33.454153,-70.692169,San Alberto Hurtado
-33.4558,-70.699361,Ecuador
-33.457394,-70.715978,Pajaritos
-33.451508,-70.722678,Neptuno
-33.442772,-70.6315,Parque Bustamante
-33.439075,-70.668639,Cumming
-33.4374,-70.634892,Baquedano
-33.438267,-70.690953,Gruta de Lourdes
-33.443161,-70.716828,Lo Prado
-33.440394,-70.680311,Quinta Normal
-33.436578,-70.644411,Bellas Artes
-33.441119,-70.706828,Blanqueado
-33.44494167,-70.74105278,Pudahuel
-33.45291111,-70.73941111,Barrancas
-33.4624,-70.7379,Laguna Sur
-33.482242,-70.745439,Monte Tabor
-33.496975,-70.757092,Santiago Bueras
-33.49025,-70.753111111111,EIM Del Sol
-33.4752,-70.74,Las Parcelas
-33.489992,-70.752956,Del Sol
-33.509981,-70.756997,Plaza de Maipú
-33.421719,-70.609667,Los Leones
-33.4623662,-70.6062098,Estadio Nacional
-33.4387209,-70.607319,Inés de Suárez
-33.4673461,-70.6247406,Ñuble
-33.4764689,-70.6421708,Bío Bío
-33.4786705,-70.6647887,Presidente Pedro Aguirre Cerda
-33.4834216,-70.6955488,Cerrillos
-33.478389,-70.6808986,Lo Valledor
-33.4905,-70.722805555556,Lo Errázuriz
-33.454527777778,-70.580083333333,Villa Frei
-33.455277777778,-70.5975,Chile España
-33.454166666667,-70.604972222222,Ñuñoa
-33.453416666667,-70.614,Monseñor Eyzaguirre
-33.452406,-70.628989,Irarrázaval
