descripcion,tag,titular
EL streaming de WarnerMedia confirmó la fecha de estreno en su plataforma de la película más reciente del simbionte.,"Cine, "," , , ,Venom: Let There Be Carnage estará disponible a fines de abril en HBO Max"
"El tenista nacional batalló, pero cayó por 4-6, 6-3 y 6-4 ante el norteamericano. Más allá de la caída, el duelo estuvo marcado por una polémica decisión arbitral que lo perjudicó. La final será entre el mencionado y su compatriota Reilly Opelka.","Tenis, "," , , ,Christian Garin se despide del ATP de Houston tras sufrir ante John Isner y los jueces"
La nueva cinta animada del gigantesco perro llegará en mayo al streaming.,"Tráilers, "," , , ,Marmaduke quiere ganar una prestigiosa competencia en el tráiler de su nueva película para Netflix"
"El titular de la cartera, Esteban Valenzuela, aseguró que reunirse con el Movimiento por la Autodeterminación Mapuche es una manera de “abordar la deuda histórica que se mantiene con el pueblo nación, como un reconocimiento necesario”.","Política, "," , , ,Ministro de Agricultura se reúne con distintas comunidades mapuche en La Araucanía: “Este es el camino para la paz”"
"Las últimas semanas en Pakistán se han caracterizado por una tensión política como no se ha visto en años, marcadas por los escándalos de transfuguismo y multitudinarias manifestaciones a favor y en contra de Jan, que es denunciado por la alianza opositora del Movimiento Democrático de Pakistán (MDP) como un “títere” del Ejército.","Pakistán, "," , , ,Imran Jan es destituido como primer ministro de Pakistán tras la moción de censura impulsada por la oposición"
A Jack Tretton le hubiese gustado que la empresa aprovechara de mejor manera el potencial de ese dispositivo portátil.,"Videojuegos, "," , , ,Un ex-ejecutivo de Sony cree que la compañía dejó “huérfana” a la PS Vita"
La U visita a los piratas con la misión de volver al triunfo tras la derrota en el clásico ante Universidad Católica. Sigue minuto a minuto todos los detalles en El Deportivo.,"En vivo, "," , , ,En vivo: Universidad de Chile enfrenta a Coquimbo Unido con el objetivo de levantarse"
"Con miras al debut del primer parche importante del juego, la compañía aseguró que priorizó "" las mejoras y correcciones en función de los comentarios y opiniones” de los jugadores.","Videojuegos, "," , , ,Konami reconoció que eFootball todavía no estaba finalizado en su fecha de lanzamiento"
"El defensor de Huachipato debió ser trasladado de urgencia a un centro médico, tras recibir una fuerte entrada de Adrián Guillermo Sánchez, quien se fue expulsado.","Fútbol, "," , , ,Escalofriante: la lesión que sacó en ambulancia a Nicolás Ramírez del duelo entre Everton y Huachipato"
"El seleccionado chileno disputó los 90' en la igualdad 1-1 con Blackpool, por la fecha 41 del Championship. Desde el 14 de febrero, el día que se lesionó, que no estaba desde el inicio con los Rovers. Su elenco está séptimo en la tabla, fuera incluso de la zona de playoffs por el tercer cupo a la Premier League.","Fútbol, "," , , ,El cara y sello de Ben Brereton: vuelve a ser titular en Blackburn, pero se aleja del ascenso"
"El volante de Fernández Vial manifestó su descontento por redes sociales tras el clamoroso yerro del arbitraje en el inicio de la fecha del Ascenso, en el que no se validó como gol un balón que estaba dentro del arco.","Fútbol, "," , , ,Arturo Sanhueza explota tras el error del arbitraje: “Ahora, ¿a quién hay que echar?”"
"El Circuito de Albert Park vuelve -tras dos años- a ser escenario de la emoción del campeonato motorsport más importante del planeta. ¿Ferrari, Red Bull... O habrá alguna sorpresa?","Motorsport, "," , , ,GP de Australia: Cuándo y dónde ver la tercera fecha de la Fórmula 1"
Las comisiones de Medio Ambiente y de Sistemas de Conocimientos sesionaron este sábado y visaron una serie de artículos relativos a la minería y el fomento de la lectura.,"Convención, "," , , ,Al pleno de la Convención: comisiones aprueban autorizaciones mineras temporales, editorial estatal y libros exentos de IVA"
"De esta forma, Quinteros defendió el trabajo que se ha estado llevando a cabo y aseguró que las normas que ahora integran el borrador de la nueva constitución dan cuenta de un exitoso acuerdo al interior de la convención. “Todas estas normas se han aprobado, en promedio, con 122 votos”, indicó.","Política, "," , , ,Presidenta de la Convención Constitucional insiste en defensa del Apruebo y asegura que “es el único proceso democrático que hemos tenido”"
"Esta semana el cronograma incluye primera y segunda dosis para personas de tres o más años, dosis de refuerzo para vacunados con esquema completo hasta el 28 de noviembre y cuarta dosis para personas inmunocomprometidas, adultos de 18 o más años y funcionarios del área de la salud.","Coronavirus, "," , , ,Cuarta dosis: revisa el calendario de vacunación para la semana del 11 de abril"
